date,val,site
2025-05-20,47,Comal
2025-05-19,50,Comal
2025-05-18,50,Comal
2025-05-17,49,Comal
2025-05-16,51,Comal
2025-05-15,52,Comal
2025-05-14,56,Comal
2025-05-13,59,Comal
2025-05-12,62,Comal
2025-05-11,65,Comal
2025-05-10,68,Comal
2025-05-09,69,Comal
2025-05-08,70,Comal
2025-05-07,70,Comal
2025-05-06,71,Comal
2025-05-05,72,Comal
2025-05-04,73,Comal
2025-05-03,74,Comal
2025-05-02,75,Comal
2025-05-01,76,Comal
2025-04-30,75,Comal
2025-04-29,74,Comal
2025-04-28,75,Comal
2025-04-27,75,Comal
2025-04-26,76,Comal
2025-04-25,72,Comal
2025-04-24,69,Comal
2025-04-23,66,Comal
2025-04-22,61,Comal
2025-04-21,60,Comal
2025-04-20,57,Comal
2025-04-19,55,Comal
2025-04-18,55,Comal
2025-04-17,55,Comal
2025-04-16,57,Comal
2025-04-15,58,Comal
2025-04-14,65,Comal
2025-04-13,66,Comal
2025-04-12,68,Comal
2025-04-11,68,Comal
2025-04-10,71,Comal
2025-04-09,73,Comal
2025-04-08,75,Comal
2025-04-07,77,Comal
2025-04-06,79,Comal
2025-04-05,78,Comal
2025-04-04,77,Comal
2025-04-03,76,Comal
2025-04-02,74,Comal
2025-04-01,79,Comal
2025-03-31,76,Comal
2025-03-30,73,Comal
2025-03-29,71,Comal
2025-03-28,68,Comal
2025-03-27,66,Comal
2025-03-26,64,Comal
2025-03-25,62,Comal
2025-03-24,62,Comal
2025-03-23,62,Comal
2025-03-22,62,Comal
2025-03-21,64,Comal
2025-03-20,65,Comal
2025-03-19,67,Comal
2025-03-18,69,Comal
2025-03-17,70,Comal
2025-03-16,72,Comal
2025-03-15,73,Comal
2025-03-14,74,Comal
2025-03-13,74,Comal
2025-03-12,74,Comal
2025-03-11,78,Comal
2025-03-10,80,Comal
2025-03-09,80,Comal
2025-03-08,82,Comal
2025-03-07,82,Comal
2025-03-06,83,Comal
2025-03-05,84,Comal
2025-03-04,84,Comal
2025-03-03,86,Comal
2025-03-02,87,Comal
2025-03-01,88,Comal
2025-02-28,90,Comal
2025-02-27,91,Comal
2025-02-26,91,Comal
2025-02-25,91,Comal
2025-02-24,90,Comal
2025-02-23,88,Comal
2025-02-22,86,Comal
2025-02-21,85,Comal
2025-02-20,85,Comal
2025-02-19,84,Comal
2025-02-18,85,Comal
2025-02-17,85,Comal
2025-02-16,86,Comal
2025-02-15,87,Comal
2025-02-14,87,Comal
2025-02-13,86,Comal
2025-02-12,86,Comal
2025-02-11,85,Comal
2025-02-10,85,Comal
2025-02-09,84,Comal
2025-02-08,83,Comal
2025-02-07,83,Comal
2025-02-06,84,Comal
2025-02-05,84,Comal
2025-02-04,85,Comal
2025-02-03,86,Comal
2025-02-02,86,Comal
2025-02-01,86,Comal
2025-01-31,86,Comal
2025-01-30,87,Comal
2025-01-29,83,Comal
2025-01-28,81,Comal
2025-01-27,79,Comal
2025-01-26,77,Comal
2025-01-25,76,Comal
2025-01-24,76,Comal
2025-01-23,76,Comal
2025-01-22,77,Comal
2025-01-21,78,Comal
2025-01-20,76,Comal
2025-01-19,75,Comal
2025-01-18,74,Comal
2025-01-17,75,Comal
2025-01-16,73,Comal
2025-01-15,72,Comal
2025-01-14,72,Comal
2025-01-13,69,Comal
2025-01-12,68,Comal
2025-01-11,67,Comal
2025-01-10,66,Comal
2025-01-09,64,Comal
2025-01-08,63,Comal
2025-01-07,63,Comal
2025-01-06,63,Comal
2025-01-05,63,Comal
2025-01-04,62,Comal
2025-01-03,62,Comal
2025-01-02,63,Comal
2025-01-01,64,Comal
2024-12-31,65,Comal
2024-12-30,65,Comal
2024-12-29,66,Comal
2024-12-28,66,Comal
2024-12-27,67,Comal
