date,val,site
5/21/2025,623.67,J 17
5/21/2025,822.65,J 27
5/20/2025,47,Comal
5/20/2025,86,San Marcos
5/20/2025,624.34,J 17
5/20/2025,823.09,J 27
5/19/2025,50,Comal
5/19/2025,86,San Marcos
5/19/2025,625.1,J 17
5/19/2025,823.27,J 27
5/18/2025,50,Comal
5/18/2025,86,San Marcos
5/18/2025,625.56,J 17
5/18/2025,823.37,J 27
5/17/2025,49,Comal
5/17/2025,86,San Marcos
5/17/2025,624.99,J 17
5/17/2025,823.29,J 27
5/16/2025,51,Comal
5/16/2025,86,San Marcos
5/16/2025,625.05,J 17
5/16/2025,823.61,J 27
5/15/2025,52,Comal
5/15/2025,86,San Marcos
5/15/2025,626.04,J 17
5/15/2025,824.02,J 27
5/14/2025,56,Comal
5/14/2025,87,San Marcos
5/14/2025,626.47,J 17
5/14/2025,824.54,J 27
5/13/2025,59,Comal
5/13/2025,88,San Marcos
5/13/2025,626.78,J 17
5/13/2025,824.97,J 27
5/12/2025,62,Comal
5/12/2025,89,San Marcos
5/12/2025,628.29,J 17
5/12/2025,825.15,J 27
5/11/2025,65,Comal
5/11/2025,88,San Marcos
5/11/2025,628.72,J 17
5/11/2025,825.07,J 27
5/10/2025,68,Comal
5/10/2025,88,San Marcos
5/10/2025,628.5,J 17
5/10/2025,824.94,J 27
5/9/2025,69,Comal
5/9/2025,88,San Marcos
5/9/2025,628.28,J 17
5/9/2025,824.98,J 27
5/8/2025,70,Comal
5/8/2025,88,San Marcos
5/8/2025,628.09,J 17
5/8/2025,825.24,J 27
5/7/2025,70,Comal
5/7/2025,88,San Marcos
5/7/2025,629.18,J 17
5/7/2025,825.56,J 27
5/6/2025,71,Comal
5/6/2025,88,San Marcos
5/6/2025,629.47,J 17
5/6/2025,825.6,J 27
5/5/2025,72,Comal
5/5/2025,88,San Marcos
5/5/2025,629.23,J 17
5/5/2025,825.53,J 27
5/4/2025,73,Comal
5/4/2025,86,San Marcos
5/4/2025,629.64,J 17
5/4/2025,825.4,J 27
5/3/2025,74,Comal
5/3/2025,86,San Marcos
5/3/2025,629.52,J 17
5/3/2025,825.24,J 27
5/2/2025,75,Comal
5/2/2025,87,San Marcos
5/2/2025,629.35,J 17
5/2/2025,825.19,J 27
5/1/2025,76,Comal
5/1/2025,87,San Marcos
5/1/2025,629.1,J 17
5/1/2025,825.48,J 27
4/30/2025,75,Comal
4/30/2025,88,San Marcos
4/30/2025,629.73,J 17
4/30/2025,825.84,J 27
4/29/2025,74,Comal
4/29/2025,88,San Marcos
4/29/2025,629.66,J 17
4/29/2025,825.93,J 27
4/28/2025,75,Comal
4/28/2025,88,San Marcos
4/28/2025,630.08,J 17
4/28/2025,825.89,J 27
4/27/2025,75,Comal
4/27/2025,88,San Marcos
4/27/2025,630.57,J 17
4/27/2025,825.73,J 27
4/26/2025,76,Comal
4/26/2025,88,San Marcos
4/26/2025,630.3,J 17
4/26/2025,825.51,J 27
4/25/2025,72,Comal
4/25/2025,88,San Marcos
4/25/2025,629.94,J 17
4/25/2025,825.27,J 27
4/24/2025,69,Comal
4/24/2025,88,San Marcos
4/24/2025,629.32,J 17
4/24/2025,824.93,J 27
4/23/2025,66,Comal
4/23/2025,88,San Marcos
4/23/2025,628.39,J 17
4/23/2025,824.48,J 27
4/22/2025,61,Comal
4/22/2025,87,San Marcos
4/22/2025,627.09,J 17
4/22/2025,824.04,J 27
4/21/2025,60,Comal
4/21/2025,87,San Marcos
4/21/2025,627.38,J 17
4/21/2025,823.91,J 27
4/20/2025,57,Comal
4/20/2025,87,San Marcos
4/20/2025,626.45,J 17
4/20/2025,823.73,J 27
4/19/2025,55,Comal
4/19/2025,87,San Marcos
4/19/2025,625.37,J 17
4/19/2025,823.56,J 27
4/18/2025,55,Comal
4/18/2025,86,San Marcos
4/18/2025,625.25,J 17
4/18/2025,823.49,J 27
4/17/2025,55,Comal
4/17/2025,86,San Marcos
4/17/2025,625.71,J 17
4/17/2025,823.72,J 27
4/16/2025,625.49,J 17
4/16/2025,824.03,J 27
4/16/2025,57,Comal
4/16/2025,86,San Marcos
4/15/2025,58,Comal
4/15/2025,85,San Marcos
4/15/2025,625.38,J 17
4/15/2025,824.28,J 27
4/14/2025,65,Comal
4/14/2025,86,San Marcos
4/14/2025,626.45,J 17
4/14/2025,824.62,J 27
4/13/2025,66,Comal
4/13/2025,87,San Marcos
4/13/2025,626.88,J 17
4/13/2025,824.78,J 27
4/12/2025,68,Comal
4/12/2025,87,San Marcos
4/12/2025,627.06,J 17
4/12/2025,824.94,J 27
4/11/2025,68,Comal
4/11/2025,86,San Marcos
4/11/2025,627.2,J 17
4/11/2025,825.21,J 27
4/10/2025,71,Comal
4/10/2025,86,San Marcos
4/10/2025,627.73,J 17
4/10/2025,825.35,J 27
4/9/2025,73,Comal
4/9/2025,86,San Marcos
4/9/2025,628.31,J 17
4/9/2025,825.52,J 27
4/8/2025,75,Comal
4/8/2025,86,San Marcos
4/8/2025,628.85,J 17
4/8/2025,825.81,J 27
4/7/2025,77,Comal
4/7/2025,86,San Marcos
4/7/2025,629.6,J 17
4/7/2025,825.86,J 27
4/6/2025,79,Comal
4/6/2025,86,San Marcos
4/6/2025,629.81,J 17
4/6/2025,825.86,J 27
4/5/2025,78,Comal
4/5/2025,86,San Marcos
4/5/2025,629.44,J 17
4/5/2025,825.75,J 27
4/4/2025,77,Comal
4/4/2025,86,San Marcos
4/4/2025,629.12,J 17
4/4/2025,825.82,J 27
4/3/2025,76,Comal
4/3/2025,86,San Marcos
4/3/2025,629.62,J 17
4/3/2025,826.05,J 27
4/2/2025,74,Comal
4/2/2025,86,San Marcos
4/2/2025,629.12,J 17
4/2/2025,826.28,J 27
4/1/2025,79,Comal
4/1/2025,87,San Marcos
4/1/2025,629.62,J 17
4/1/2025,826.47,J 27
3/31/2025,76,Comal
3/31/2025,86,San Marcos
3/31/2025,629.82,J 17
3/31/2025,826.66,J 27
3/30/2025,73,Comal
3/30/2025,86,San Marcos
3/30/2025,630.25,J 17
3/30/2025,826.69,J 27
3/29/2025,71,Comal
3/29/2025,86,San Marcos
3/29/2025,629.78,J 17
3/29/2025,826.52,J 27
3/28/2025,68,Comal
3/28/2025,87,San Marcos
3/28/2025,629.15,J 17
