site_no,gage_name,Date,year,month,day,cfs
08170000,San Marcos Springs,1956-05-27,1956,5,27,65
08170000,San Marcos Springs,1956-05-28,1956,5,28,69
08170000,San Marcos Springs,1956-05-29,1956,5,29,69
08170000,San Marcos Springs,1956-05-30,1956,5,30,68
08170000,San Marcos Springs,1956-05-31,1956,5,31,65
08170000,San Marcos Springs,1956-06-01,1956,6,1,66
08170000,San Marcos Springs,1956-06-02,1956,6,2,66
08170000,San Marcos Springs,1956-06-03,1956,6,3,67
08170000,San Marcos Springs,1956-06-04,1956,6,4,67
08170000,San Marcos Springs,1956-06-05,1956,6,5,67
08170000,San Marcos Springs,1956-06-06,1956,6,6,66
08170000,San Marcos Springs,1956-06-07,1956,6,7,64
08170000,San Marcos Springs,1956-06-08,1956,6,8,62
08170000,San Marcos Springs,1956-06-09,1956,6,9,60
08170000,San Marcos Springs,1956-06-10,1956,6,10,60
08170000,San Marcos Springs,1956-06-11,1956,6,11,63
08170000,San Marcos Springs,1956-06-12,1956,6,12,66
08170000,San Marcos Springs,1956-06-13,1956,6,13,66
08170000,San Marcos Springs,1956-06-14,1956,6,14,66
08170000,San Marcos Springs,1956-06-15,1956,6,15,64
08170000,San Marcos Springs,1956-06-16,1956,6,16,62
08170000,San Marcos Springs,1956-06-17,1956,6,17,63
08170000,San Marcos Springs,1956-06-18,1956,6,18,65
08170000,San Marcos Springs,1956-06-19,1956,6,19,65
08170000,San Marcos Springs,1956-06-20,1956,6,20,66
08170000,San Marcos Springs,1956-06-21,1956,6,21,66
08170000,San Marcos Springs,1956-06-22,1956,6,22,66
08170000,San Marcos Springs,1956-06-23,1956,6,23,64
08170000,San Marcos Springs,1956-06-24,1956,6,24,65
08170000,San Marcos Springs,1956-06-25,1956,6,25,64
08170000,San Marcos Springs,1956-06-26,1956,6,26,64
08170000,San Marcos Springs,1956-06-27,1956,6,27,62
08170000,San Marcos Springs,1956-06-28,1956,6,28,60
08170000,San Marcos Springs,1956-06-29,1956,6,29,60
08170000,San Marcos Springs,1956-06-30,1956,6,30,59
08170000,San Marcos Springs,1956-07-01,1956,7,1,54
08170000,San Marcos Springs,1956-07-02,1956,7,2,59
08170000,San Marcos Springs,1956-07-03,1956,7,3,59
08170000,San Marcos Springs,1956-07-04,1956,7,4,58
08170000,San Marcos Springs,1956-07-05,1956,7,5,59
08170000,San Marcos Springs,1956-07-06,1956,7,6,57
08170000,San Marcos Springs,1956-07-07,1956,7,7,54
08170000,San Marcos Springs,1956-07-08,1956,7,8,59
08170000,San Marcos Springs,1956-07-09,1956,7,9,59
08170000,San Marcos Springs,1956-07-10,1956,7,10,56
08170000,San Marcos Springs,1956-07-11,1956,7,11,54
08170000,San Marcos Springs,1956-07-12,1956,7,12,55
08170000,San Marcos Springs,1956-07-13,1956,7,13,54
08170000,San Marcos Springs,1956-07-14,1956,7,14,54
