date,val,site
2025-05-20,86,San Marcos
2025-05-19,86,San Marcos
2025-05-18,86,San Marcos
2025-05-17,86,San Marcos
2025-05-16,86,San Marcos
2025-05-15,86,San Marcos
2025-05-14,87,San Marcos
2025-05-13,88,San Marcos
2025-05-12,89,San Marcos
2025-05-11,88,San Marcos
2025-05-10,88,San Marcos
2025-05-09,88,San Marcos
2025-05-08,88,San Marcos
2025-05-07,88,San Marcos
2025-05-06,88,San Marcos
2025-05-05,88,San Marcos
2025-05-04,86,San Marcos
2025-05-03,86,San Marcos
2025-05-02,87,San Marcos
2025-05-01,87,San Marcos
2025-04-30,88,San Marcos
2025-04-29,88,San Marcos
2025-04-28,88,San Marcos
2025-04-27,88,San Marcos
2025-04-26,88,San Marcos
2025-04-25,88,San Marcos
2025-04-24,88,San Marcos
2025-04-23,88,San Marcos
2025-04-22,87,San Marcos
2025-04-21,87,San Marcos
2025-04-20,87,San Marcos
2025-04-19,87,San Marcos
2025-04-18,86,San Marcos
2025-04-17,86,San Marcos
2025-04-16,86,San Marcos
2025-04-15,85,San Marcos
2025-04-14,86,San Marcos
2025-04-13,87,San Marcos
2025-04-12,87,San Marcos
2025-04-11,86,San Marcos
2025-04-10,86,San Marcos
2025-04-09,86,San Marcos
2025-04-08,86,San Marcos
2025-04-07,86,San Marcos
2025-04-06,86,San Marcos
2025-04-05,86,San Marcos
2025-04-04,86,San Marcos
2025-04-03,86,San Marcos
2025-04-02,86,San Marcos
2025-04-01,87,San Marcos
2025-03-31,86,San Marcos
2025-03-30,86,San Marcos
2025-03-29,86,San Marcos
2025-03-28,87,San Marcos
2025-03-27,88,San Marcos
2025-03-26,87,San Marcos
2025-03-25,86,San Marcos
2025-03-24,86,San Marcos
2025-03-23,87,San Marcos
2025-03-22,86,San Marcos
2025-03-21,86,San Marcos
2025-03-20,85,San Marcos
2025-03-19,85,San Marcos
2025-03-18,85,San Marcos
2025-03-17,84,San Marcos
2025-03-16,85,San Marcos
2025-03-15,85,San Marcos
2025-03-14,85,San Marcos
2025-03-13,85,San Marcos
2025-03-12,86,San Marcos
2025-03-11,86,San Marcos
2025-03-10,85,San Marcos
2025-03-09,85,San Marcos
2025-03-08,85,San Marcos
2025-03-07,85,San Marcos
2025-03-06,85,San Marcos
2025-03-05,84,San Marcos
2025-03-04,85,San Marcos
2025-03-03,86,San Marcos
2025-03-02,86,San Marcos
2025-03-01,86,San Marcos
2025-02-28,86,San Marcos
2025-02-27,86,San Marcos
2025-02-26,86,San Marcos
2025-02-25,85,San Marcos
2025-02-24,85,San Marcos
2025-02-23,86,San Marcos
2025-02-22,85,San Marcos
2025-02-21,84,San Marcos
2025-02-20,84,San Marcos
2025-02-19,84,San Marcos
2025-02-18,84,San Marcos
2025-02-17,84,San Marcos
2025-02-16,84,San Marcos
2025-02-15,85,San Marcos
2025-02-14,85,San Marcos
2025-02-13,84,San Marcos
2025-02-12,84,San Marcos
2025-02-11,84,San Marcos
2025-02-10,84,San Marcos
2025-02-09,84,San Marcos
2025-02-08,84,San Marcos
2025-02-07,85,San Marcos
2025-02-06,85,San Marcos
2025-02-05,85,San Marcos
2025-02-04,84,San Marcos
2025-02-03,85,San Marcos
2025-02-02,85,San Marcos
2025-02-01,85,San Marcos
2025-01-31,85,San Marcos
2025-01-30,85,San Marcos
2025-01-29,85,San Marcos
2025-01-28,85,San Marcos
2025-01-27,84,San Marcos
2025-01-26,85,San Marcos
2025-01-25,85,San Marcos
2025-01-24,84,San Marcos
2025-01-23,83,San Marcos
2025-01-22,83,San Marcos
2025-01-21,83,San Marcos
2025-01-20,83,San Marcos
2025-01-19,83,San Marcos
2025-01-18,84,San Marcos
2025-01-17,84,San Marcos
2025-01-16,84,San Marcos
2025-01-15,84,San Marcos
2025-01-14,84,San Marcos
2025-01-13,84,San Marcos
2025-01-12,83,San Marcos
2025-01-11,83,San Marcos
2025-01-10,83,San Marcos
2025-01-09,82,San Marcos
2025-01-08,82,San Marcos
2025-01-07,81,San Marcos
2025-01-06,81,San Marcos
2025-01-05,81,San Marcos
2025-01-04,82,San Marcos
2025-01-03,82,San Marcos
2025-01-02,81,San Marcos
2025-01-01,81,San Marcos
2024-12-31,81,San Marcos
2024-12-30,82,San Marcos
2024-12-29,82,San Marcos
2024-12-28,83,San Marcos
2024-12-27,83,San Marcos
2024-12-26,84,San Marcos
2024-12-25,84,San Marcos
2024-12-24,84,San Marcos
2024-12-23,84,San Marcos
2024-12-22,84,San Marcos
2024-12-21,84,San Marcos
2024-12-20,84,San Marcos
2024-12-19,84,San Marcos
2024-12-18,85,San Marcos
2024-12-17,85,San Marcos
2024-12-16,85,San Marcos
2024-12-15,85,San Marcos
2024-12-14,85,San Marcos
2024-12-13,84,San Marcos
2024-12-12,84,San Marcos
2024-12-11,84,San Marcos
2024-12-10,84,San Marcos
2024-12-09,84,San Marcos
2024-12-08,84,San Marcos
2024-12-07,83,San Marcos
2024-12-06,83,San Marcos
2024-12-05,84,San Marcos
2024-12-04,84,San Marcos
2024-12-03,83,San Marcos
2024-12-02,83,San Marcos
2024-12-01,83,San Marcos
2024-11-30,83,San Marcos
2024-11-29,82,San Marcos
2024-11-28,82,San Marcos
2024-11-27,81,San Marcos
2024-11-26,81,San Marcos
2024-11-25,80,San Marcos
2024-11-24,80,San Marcos
2024-11-23,80,San Marcos
2024-11-22,80,San Marcos
2024-11-21,80,San Marcos
2024-11-20,80,San Marcos
2024-11-19,80,San Marcos
2024-11-18,80,San Marcos
2024-11-17,81,San Marcos
2024-11-16,81,San Marcos
2024-11-15,81,San Marcos
2024-11-14,81,San Marcos
2024-11-13,81,San Marcos
2024-11-12,80,San Marcos
2024-11-11,81,San Marcos
2024-11-10,81,San Marcos
2024-11-09,82,San Marcos
2024-11-08,82,San Marcos
2024-11-07,81,San Marcos
2024-11-06,82,San Marcos
2024-11-05,84,San Marcos
2024-11-04,84,San Marcos
2024-11-03,86,San Marcos
2024-11-02,88,San Marcos
2024-11-01,89,San Marcos
2024-10-31,91,San Marcos
2024-10-30,91,San Marcos
2024-10-29,91,San Marcos
2024-10-28,92,San Marcos
2024-10-27,91,San Marcos
2024-10-26,91,San Marcos
2024-10-25,91,San Marcos
2024-10-24,91,San Marcos
2024-10-23,91,San Marcos
2024-10-22,90,San Marcos
2024-10-21,90,San Marcos
2024-10-20,89,San Marcos
2024-10-19,89,San Marcos
2024-10-18,88,San Marcos
2024-10-17,87,San Marcos
2024-10-16,87,San Marcos
2024-10-15,86,San Marcos
2024-10-14,86,San Marcos
2024-10-13,86,San Marcos
2024-10-12,85,San Marcos
2024-10-11,84,San Marcos
2024-10-10,84,San Marcos
2024-10-09,83,San Marcos
2024-10-08,82,San Marcos
2024-10-07,84,San Marcos
2024-10-06,86,San Marcos
2024-10-05,86,San Marcos
2024-10-04,86,San Marcos
2024-10-03,86,San Marcos
2024-10-02,86,San Marcos
2024-10-01,86,San Marcos
2024-09-30,86,San Marcos
2024-09-29,86,San Marcos
2024-09-28,86,San Marcos
2024-09-27,85,San Marcos
2024-09-26,86,San Marcos
2024-09-25,86,San Marcos
2024-09-24,87,San Marcos
2024-09-23,87,San Marcos
2024-09-22,88,San Marcos
2024-09-21,88,San Marcos
2024-09-20,88,San Marcos
2024-09-19,88,San Marcos
2024-09-18,89,San Marcos
2024-09-17,96,San Marcos
2024-09-16,97,San Marcos
2024-09-15,99,San Marcos
2024-09-14,98,San Marcos
2024-09-13,98,San Marcos
2024-09-12,98,San Marcos
2024-09-11,98,San Marcos
2024-09-10,98,San Marcos
2024-09-09,98,San Marcos
2024-09-08,98,San Marcos
2024-09-07,98,San Marcos
2024-09-06,98,San Marcos
2024-09-05,97,San Marcos
2024-09-04,96,San Marcos
2024-09-03,94,San Marcos
2024-09-02,93,San Marcos
2024-09-01,95,San Marcos
2024-08-31,94,San Marcos
2024-08-30,93,San Marcos
2024-08-29,93,San Marcos
2024-08-28,93,San Marcos
2024-08-27,93,San Marcos
2024-08-26,92,San Marcos
2024-08-25,94,San Marcos
2024-08-24,93,San Marcos
2024-08-23,93,San Marcos
2024-08-22,94,San Marcos
2024-08-21,94,San Marcos
2024-08-20,94,San Marcos
2024-08-19,98,San Marcos
2024-08-18,100,San Marcos
2024-08-17,102,San Marcos
2024-08-16,103,San Marcos
2024-08-15,105,San Marcos
2024-08-14,107,San Marcos
2024-08-13,107,San Marcos
2024-08-12,107,San Marcos
2024-08-11,106,San Marcos
2024-08-10,106,San Marcos
2024-08-09,105,San Marcos
2024-08-08,105,San Marcos
2024-08-07,105,San Marcos
2024-08-06,105,San Marcos
2024-08-05,106,San Marcos
2024-08-04,106,San Marcos
2024-08-03,106,San Marcos
2024-08-02,106,San Marcos
2024-08-01,105,San Marcos
2024-07-31,106,San Marcos
2024-07-30,107,San Marcos
2024-07-29,107,San Marcos
2024-07-28,108,San Marcos
2024-07-27,108,San Marcos
2024-07-26,107,San Marcos
2024-07-25,108,San Marcos
2024-07-24,113,San Marcos
2024-07-23,113,San Marcos
2024-07-22,112,San Marcos
